text,sentiment
"I am looking for recommendations for a good (great?) Alfa Romeo
mechanic in South Jersey or Philadelphia or nearby.

I have a '78 Alfa Spider that needs some engine, tranny, steering work
done.  The b",positive
"Dear Netters:

I am looking to buy a used Eagle Talon '91 or '91 TSi AWD.
Question is that the '91 TSi AWD was mentioned in the
April Consumer Reports to a car to avoid!

In particular, the manual tra",positive
"OK -- so we've got a hotly contested BMWOA election and some inept 
leadership.

My question is the history of the BMW organization that lead to the
formation of the BMWRA. Was there something going o",positive
"NMM>From: nielsmm@imv.aau.dk (Niels Mikkel Michelsen)
NMM>Subject: How to act in front of traffic jerks

NMM>The other day, it was raining cats and dogs, therefor I was going only to
NMM>the speed lim",positive
"Give out the address, I'll drive by and take a look myself, then post.

",negative
"

No... you can do this? Really? The other morning I went to do a lane change
on the freeway and looked in my mirror, theer was a car there, but far
enough behind. I looked again about 3-5 seconds lat",positive
"


Greg,

I'm very new to motorcycles. Haven't even bought one yet. I was in the same
position about you. How do you learn if you've never ridden.

I took a class put on by a group called the Motorcyc",negative
"Has anybody noticed that Toyota has an uncanny knack for designing horrible
ugly station wagons?  Tercels, Corollas, Camrys.  Have their designers no
aesthetic sense at all?",negative
"Archive-name: rec-autos/part4

[this article is one of a pair of articles containing commonly
asked automotive questions; the other article contains questions
of general consumer interest, and is brok",positive
"
If we do, I think you'd loose.  Sure, you're hand's already on the
throttle.  And your thumb is already near the horn button.  Pushing the
horn button is one simple move.  Revving the throttle requir",positive
"




I sold my '86 Sprint last April with 95k on it.  I'd driven it since
the previous July, putting 20k miles on it.  The sensor light used to
light up regularly, starting about 5k miles after I boug",positive
"
I don't think this is the case, at least not on all jetskis.  On my
friend's jetski, bars turn left to go left.  Anyway, all you're doing
there is changing the yaw of the jets, so the relationship be",positive
"
did you account for depreciation?  i seriously doubt that a taurus
would rack up an extra $4000 in repair costs over 5 years.",negative
"

Yes, however, with the top off and the rear window down this car is more 
like a convertible than a coupe.  Think of it as a convertible with an 
integrated roll-bar like addition.",negative
"I heard the diesels are considered cleaner-burning than
gas engines because the emit less of: Carbon Monoxide,
Hydrocarbons, and Oxides of Nitrogen.  (CO, HC, NOX).

But they can put out a lot of part",positive
"Hello,
 
I have a 92 Toyota 4X4 and in the last few weeks I have been getting quite
a few ""dings"" :( in the paint on the hood from rocks and debris off of the
road. I have never had any major problems",positive
"
Or perhaps any planning at all.  :-)  Hiya Pete, still got that CBX?
Nice to hear from you again!


Ouch. :-)   This brings to mind one of the recommendations in the
Hurt Study.   Because the rear of",positive
": Unless... some insurance agent offers a multi-vehicle discount.  They
: do this all the time for cars, assuming that you're only capable of 

Progressive offers multi-vehicle discounts.
Good prices ",negative
" 
The federal government has mandated that all passenger cars by model year
'95 return to the floor mounted dimmer switch.

A study by the National Highway Traffic Safety Administration (NHTSA) has
fo",positive
"
CONGRAULATIONS !!!! Your helmet just passed the Snell Test.
 

Oh well, as least it looks ok now. Still, it may not save your head as well
as before you dropped it.

Mike",negative
"xIn article <1qgi8eINNhs5@skeena.ucs.ubc.ca> yiklam@unixg.ubc.ca (Yik Chong Lam)
x>Hello,
x>
x>       Does anyone know how to take out the bolt under the engine
x>compartment?  Should I turn clockwise",positive
"


It works for me. I avoid obscenities, and try to remain calm cool and 
collected, and try something like, ""You almost just killed me, and I'm not 
moving until you apologize."" or something more or ",positive
"
How about those toneau covers? I've been thinking of building one
from chipboard for roadtrips. Any comment on how they affect
mileage in highway travel?

Charles",negative
"Is it possible to do a ""wheelie"" on a motorcycle with shaft-drive?",negative
"}start her up and rev to about 3000 rpm....I FAIL cuz I register 120 DB,
}and the max allowed is 110! If I fail with these pipes, there are gonna

Next time make the numbers more believable -- this is",positive
"I tried mailing you but your domain seems not to exist, can't even get 
sinet.slb.com to admit to knowing about geco, anyway here we go:


: Subject:GPz900 runs like a bitch.
:    Anyone have a cure f",positive
")>   Here's to the 3 asshole scooter owners who TRIPLE PARKED behind my
)>    bike today. 
)
)Jim calling other prople assholes, what's next?
                   ^^^^^^

If you're going to flame, learn",positive
"hello there
ican anyone who has handson experience on riding the Yamaha v-max, pls kindly
comment on its handling .


",negative
"The best thing to do is to get a full face, even if it is a
cheap brain bucket.  I didn't think a full face was important
until I took a gnarly spill and ended up sliding 20 feet on my
face.  Plus wit",positive
"Hello all,

On my bike I have hazard lights (both front and back turn signals
flash).  Since I live in NJ and commute to NYC there are a number of
tolls one must pay on route.  Just before arriving at",positive
"
OK, as one last attempt, I'll take a different tack.

We all seem to be in agreement that there are two explanations for why
one can use the handlebars to lean a moving motorcycle. The question is,
i",positive
"


What do you find so wrong with the flat 6 in the Subaru's, or the flat 4 for that
matter?",negative
"I have to disagree with this.  I have a 92 Z28 with a 350 and a 4-speed auto
w/ overdrive, and it is really better that way.  Chevy autos are reknowned
for their long life and ability to handle copiou",positive
"If I have one thing to say about ""No Fault"" it would be
""It isn't""",negative
"THANKS TO ALL OF YOU WHO RESPONDED TO MY POSTING. 

THE PROBLEM WITH MY TRUCK'S HEADLIGHTS LOW BEAM PROBLEM WAS A ""LOOSE WIRE
 CONNECTION"".  IT WAS NOT THE ""FUSE"" AS A MINORITY OF YOU SUGGESTED.",negative
"


  I beleive it's called the ""Dentabox"" frame. 

Nothing some putty and paint won't fix.

__
   Jorg Klinger            |       GSXR1100        | If you only new who
   Arch. & Eng. Services   |""Los",negative
"
When your helmetted nogin hits an immoveabe object, there are only four things
to dissipate the energy: the immoveable object, the helmet shell, the helmet
liner, the rider's head, the rider's ego (o",positive
"Thanks to all who responded.   The three items (electric vest,
Aerostitch Suit, and Scarf) are all spoken for.

-Gary
",negative
"

Something that happened in South AFrica about a year ago: A dealer sold a 
Mercedes with an odometer reading of 150K kilometers to a lady. Turned out 
that the actual reading should have been 160K. ",positive
"That plastic bodywork is useless. That torque, and an upright riding position is
better than a slightly or radically forward riding position combined with a high-rpm
low torque motor.

To a cruiser-mo",positive
"
Makes sense, since the new Mercedes Benz engines go from 2.2L-4 to a 2.8L-6.
Nothing in between.  BTW, I beleive the numbers on those MB engines are
156 and 225 hp respectively.  The one-upmanship in",positive
"No, that sounds pretty reasonable for that car and that city.

Unless you have an accident, you won't need more.  If you plan on
paying for the car with a credit card, check and see if your card
autom",positive
,negative
"
I guess it either had the top down, or the hail ripped through the top, as
you could not do $10k worth of hail damage to a Miata body. ",negative
"CB>        DON'T BE SO STUPID AS TO LEAVE YOUR HELMET ON THE SEAT WHERE IT CAN
CB>        FALL DOWN AND GO BOOM!

Ryan> Another good place for your helmet is your mirror (!). I kid you not.

This is v",positive
"
""Teflon"" is a DuPont-owned tradename for PTFE.  Slick-50 does
indeed use DuPont Teflon, though some other brands of such
stuff may use imported PTFE of another brand.

""Teflon"", being a trade-name, s",negative
"
toyota has cornered the market on ugly station wagons.
after seeing the new camry sedan, i had thought toyota would
finally turn out something nice-looking.  the new camry station
wagon bears a stron",negative
"So does clear lipstick/chapstick/etc. fit under the ""natural look"" or
the ""waxy shit"" category?  I wear something on my lips to keep them from
drying out.  Kissing dry, cracked, parched lips isn't too",positive
"
Warren Brown, the Washington Post's auto writer was the first journalist
to get his hands on the New Yorker.  If you'd like his impressions of it
his review appeared in Friday's paper, in the ""Weeken",negative
"

As you point out, the experiments would be difficult. But we know
enough about the physics of the situation to do some calculations.
There are in fact three effects contributing to leaning the bike ",positive
"Hi. I have been thinking about buying a Motorcycle or a while now and I have
some questions:

-Is there a buying guide for new/used motorcycles (that lists reliability, how
to go about the buying proc",positive
"

On second thought, maybe he didn't invent wreck.moto - 

	he's trying a round about way to figure out the DoD theme song.

One FAQ, coming right up!


   Charlie Smith,  DoD #0709,  doh #0000000004,",negative
"
Mike Terry asks:

No Mike.  It is imposible due to the shaft effect.  The centripital effects
of the rotating shaft counteract any tendency for the front wheel to lift
off the ground.",negative
"
I'm not sure on the older bikes, but the Yamaha Virago 535 has spec'd
seat height of 27.6 in. and the Honda Shadow 27.2 in. 
",negative
"
Suggest McQuires #1 plastic polish.  It will help somewhat but nothing 
will remove deep scratches without making it worse than it already is.
McQuires will do something for fine or light stuff.

Als",positive
,negative
"Anti Freeze

I was wrong, still had the issue of ""Street Rodder"" in
my last pile. In the February 1991 issue on page 24 there
is an advirtisement for anti freeze.
 
AND IT MAKES A GREAT PARTY MIXER
Th",positive
"
: >I just got to thinking:  why don't manufacturers still make bikes with 
turbos?
: > etc ....

Because they add a lot of expense and complexity and make for a less reliable 
and less controllable b",positive
"Hi. I have been thinking about buying a Motorcycle or a while now and I have
some questions:

-Is there a buying guide for new/used motorcycles (that lists reliability, how
to go about the buying proc",positive
"
In my case that's not for another 3+ years, so I'd appreciate any
hints on what will keep the organization in business that long.  (And
preferably longer, of course, and worth being part of.)",negative
"Paraphrase of initial post:

	Can I fight a speeding ticket in court?

My reply:

       Fight your ticket : California edition by David Brown 1st ed.
       Berkeley, CA : Nolo Press, 1982

The secon",negative
"
I'll post a summary after I get enough information.  I'll include
tips like ""how to know when the monkey is pulling your leg"".  Shouldn't
monkey's have to be bonded and insured before they work on bi",negative
"Mark Kromer, on the Thu, 15 Apr 1993 00:42:46 GMT wibbled:

: >Does the ""amount of exhaust allowed to leave the engine through the
: >exhaust pipe"" make that much of a difference? the amount of air/fu",positive
"
Based on my experience with a '79 FJ40 ( the hard-top jeep-style model ) I 
would definitely give a new model consideration if I were in the market. The
older models are VERY well built. Unless Toyot",positive
"
Of course you are a bunch of arrogant lawyers who know whats best for the 
rest of us. You are doing such a wonderful job with our judicial system,
getting all the criminals off, I bow to your superi",positive
"I had exactly the same problem with a 1981 Horizon.  Third gear would
just disengage.  Engine would rev up.  Kind of disconcerting.

I sold that car quite a few years back but the memory of that trann",positive
"
Right on, it is every citizen's right and duty to FORCE government
accountability.

(anecdotes deleted)


Also keep in mind that cops will LIE in court to get their way! (don't get
me started by aski",positive
"I'm plannig to trade my Sentra SE-R in with a NX2000.  My car has 11,500
miles on it and is a '92 model.  The NX2000 the dealer is selling is a '91
model with 23,000miles on it.  It has a T-Bar Roof, ",positive
"[this is posted for a friend, please reply to dschick@holonet.net]

1990 BMW K75RT FOR SALE",negative
"                                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Therein lies the rub.  The HD slash cut, or baloney cuts as some call
them, ARE NOT STOCK mufflers.  They're sold for ""off-road use o",negative
